age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
33,Private,305508,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
36,Private,110509,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
61,Private,317174,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
61,Private,311262,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,12,United-States,<=50K
57,State-gov,319004,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,>50K
31,Private,112545,Some-college,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Local-gov,219179,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,182072,Masters,10,Never-married,Other-service,Own-child,White,Male,0,0,50,United-States,<=50K
32,Private,117146,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,15,United-States,>50K
39,Private,120245,Bachelors,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,_RARE_,>50K
49,Private,115172,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
23,Private,98929,Bachelors,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
61,Self-emp-not-inc,145205,_RARE_,13,_RARE_,_RARE_,Unmarried,White,Male,0,0,28,United-States,<=50K
31,Private,71865,Bachelors,11,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
26,Private,183137,Some-college,10,Married-civ-spouse,Prof-specialty,_RARE_,White,Male,0,0,20,United-States,>50K
20,State-gov,81062,_RARE_,6,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,<=50K
31,Private,190171,HS-grad,9,Never-married,_RARE_,Not-in-family,White,Male,0,0,40,United-States,<=50K
20,Private,194802,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
20,_RARE_,182265,_RARE_,13,Never-married,_RARE_,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,163174,7th-8th,9,Never-married,Craft-repair,Husband,Black,Female,0,0,40,United-States,<=50K
28,State-gov,236815,_RARE_,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,>50K
36,Private,242806,_RARE_,13,Never-married,_RARE_,Not-in-family,White,Male,0,0,20,United-States,<=50K
31,State-gov,147671,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,60,United-States,>50K
47,Private,103228,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,United-States,<=50K
40,State-gov,178373,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
56,Private,176207,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
46,Private,149332,HS-grad,9,Married-civ-spouse,_RARE_,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,62189,_RARE_,10,Married-civ-spouse,_RARE_,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,277269,11th,9,Married-civ-spouse,Sales,Husband,Black,Male,0,0,45,United-States,<=50K
39,Private,334851,_RARE_,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
52,State-gov,141260,7th-8th,4,Divorced,Other-service,Husband,White,Female,0,0,60,United-States,>50K
31,State-gov,191230,_RARE_,4,Married-civ-spouse,_RARE_,Husband,White,Male,0,0,40,United-States,>50K
20,Local-gov,285564,Some-college,10,Never-married,Adm-clerical,_RARE_,White,Female,0,0,30,United-States,<=50K
60,Private,145455,_RARE_,13,Never-married,Other-service,Husband,_RARE_,Male,0,0,40,United-States,<=50K
59,Private,186963,_RARE_,4,Married-civ-spouse,Sales,Husband,White,Female,0,0,60,United-States,>50K
26,Private,213509,HS-grad,6,Never-married,Exec-managerial,Husband,White,Male,0,0,20,United-States,<=50K
36,State-gov,173370,Some-college,13,Divorced,Prof-specialty,Unmarried,_RARE_,Female,0,0,40,United-States,<=50K
45,Private,176561,Bachelors,14,Married-civ-spouse,_RARE_,Husband,Black,Male,0,0,55,United-States,<=50K
31,Private,201914,_RARE_,14,Married-civ-spouse,_RARE_,Husband,White,Male,0,0,40,United-States,>50K
45,Local-gov,111898,_RARE_,11,Married-civ-spouse,_RARE_,Husband,Black,Male,0,0,35,United-States,>50K
50,Self-emp-not-inc,186141,_RARE_,4,Divorced,Prof-specialty,Unmarried,White,Female,0,0,10,United-States,<=50K
36,Private,56401,HS-grad,9,_RARE_,Other-service,Own-child,White,Male,0,0,43,_RARE_,<=50K
21,Private,141487,7th-8th,4,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,40,United-States,>50K
30,Private,236680,Bachelors,4,Married-civ-spouse,_RARE_,Husband,White,Male,0,0,60,United-States,>50K
60,Private,246801,HS-grad,7,Married-civ-spouse,_RARE_,Husband,White,Male,0,0,65,United-States,<=50K
26,Private,175817,HS-grad,9,Never-married,_RARE_,Own-child,White,Male,0,0,50,United-States,<=50K
48,Self-emp-not-inc,74784,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,60,United-States,<=50K
23,_RARE_,54102,Bachelors,14,_RARE_,Prof-specialty,Not-in-family,White,Male,0,0,10,United-States,<=50K
29,Private,179237,HS-grad,9,Married-civ-spouse,_RARE_,Husband,White,Male,0,0,10,United-States,>50K
21,Private,72974,_RARE_,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,<=50K
57,Private,144492,11th,9,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,65,United-States,>50K
29,Private,276062,HS-grad,9,Never-married,_RARE_,Own-child,White,Female,0,0,20,United-States,<=50K
33,Private,218273,Some-college,10,_RARE_,Prof-specialty,Not-in-family,Black,Male,0,0,60,United-States,>50K
23,_RARE_,141952,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,45,United-States,<=50K
29,Private,213365,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
62,State-gov,197227,11th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,Mexico,>50K
37,Private,209593,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,45,United-States,<=50K
31,Private,273381,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,271588,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
53,Private,277105,7th-8th,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,<=50K
42,State-gov,202283,_RARE_,7,Married-civ-spouse,_RARE_,Unmarried,Black,Male,0,0,48,_RARE_,>50K
26,Self-emp-not-inc,94641,Masters,14,Never-married,Other-service,Own-child,Black,Female,0,0,50,United-States,<=50K
20,Self-emp-not-inc,212985,Bachelors,10,Divorced,Prof-specialty,Not-in-family,_RARE_,Female,0,0,20,United-States,>50K
50,Self-emp-not-inc,283931,11th,9,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,64,United-States,<=50K
40,Local-gov,316105,HS-grad,4,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
52,Private,349898,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
36,Private,319733,_RARE_,13,Never-married,Sales,Husband,Black,Female,0,0,20,United-States,>50K
42,Private,82212,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,170248,Bachelors,7,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,<=50K
21,Self-emp-not-inc,173531,HS-grad,9,Divorced,_RARE_,Unmarried,White,Male,0,0,40,United-States,<=50K
20,Private,285325,11th,14,Never-married,Exec-managerial,Own-child,White,Male,0,0,45,United-States,<=50K
29,Private,174015,Some-college,10,Never-married,_RARE_,Own-child,White,Male,0,0,40,United-States,<=50K
62,Private,131229,Bachelors,14,_RARE_,_RARE_,Unmarried,White,Male,0,0,55,United-States,>50K
39,Private,283142,Bachelors,6,Never-married,_RARE_,Own-child,White,Female,0,0,50,United-States,<=50K
35,Private,274473,_RARE_,11,Never-married,_RARE_,Not-in-family,White,Female,0,0,50,United-States,>50K
44,Self-emp-not-inc,190965,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,55,United-States,<=50K
21,Private,72667,Some-college,10,Never-married,_RARE_,Unmarried,White,Female,0,0,20,United-States,<=50K
62,Self-emp-not-inc,135761,_RARE_,6,Married-civ-spouse,Sales,Husband,White,Female,0,0,20,United-States,<=50K
55,Private,219953,Bachelors,10,Married-civ-spouse,_RARE_,Husband,White,Male,0,0,50,United-States,>50K
20,Self-emp-not-inc,301181,_RARE_,14,_RARE_,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Self-emp-not-inc,168093,HS-grad,9,Never-married,_RARE_,Husband,White,Female,0,0,40,United-States,<=50K
43,Self-emp-not-inc,115625,11th,13,_RARE_,Exec-managerial,Own-child,White,Female,0,0,42,United-States,<=50K
31,Private,56915,Some-college,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,<=50K
20,Private,252665,HS-grad,14,Never-married,_RARE_,Own-child,White,Male,0,0,45,United-States,<=50K
45,Private,143380,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,_RARE_,>50K
29,Private,266717,_RARE_,10,Married-civ-spouse,_RARE_,Husband,Black,Male,0,0,60,United-States,<=50K
20,Private,171175,Masters,14,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,>50K
43,Private,97773,7th-8th,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,<=50K
31,Private,118811,Some-college,14,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
59,Private,319163,HS-grad,9,Never-married,_RARE_,Husband,Black,Male,0,0,48,United-States,<=50K
27,Private,182507,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
