age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
46,Private,38231,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
32,Private,172712,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,35,United-States,<=50K
46,Private,300413,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
28,Private,239605,10th,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,103590,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
19,?,91147,Some-college,10,Never-married,?,Own-child,White,Female,0,0,12,United-States,<=50K
65,Local-gov,276485,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,15,United-States,<=50K
58,Private,120758,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,174970,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,5000,0,50,United-States,<=50K
33,Private,142983,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,2364,0,40,United-States,<=50K
39,Private,446174,Assoc-acdm,14,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,34,United-States,<=50K
20,Private,48354,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,_RARE_,<=50K
20,Private,281351,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,70,0,40,United-States,<=50K
39,Private,273463,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
23,Local-gov,153870,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
32,Private,128451,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
71,Local-gov,129127,1st-4th,6,Separated,Transport-moving,Not-in-family,White,Female,0,0,28,United-States,<=50K
22,Federal-gov,306551,Some-college,10,Separated,Adm-clerical,Own-child,White,Female,0,0,38,United-States,<=50K
37,Private,200360,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
28,Private,217530,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Local-gov,145459,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
39,Private,127788,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
30,Private,187066,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,368979,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,75,United-States,>50K
36,Private,309121,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
17,?,185413,Some-college,10,Never-married,?,Not-in-family,Black,Female,0,0,8,United-States,>50K
19,Private,151040,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,30,United-States,<=50K
64,Private,269123,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
68,Private,181908,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,_RARE_,<=50K
32,Private,191790,11th,7,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,37843,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,189264,Masters,14,Divorced,Prof-specialty,Unmarried,Black,Male,0,0,4,United-States,<=50K
53,Local-gov,57158,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
49,Private,214782,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
43,Private,137604,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,0,0,40,Canada,<=50K
74,Local-gov,167426,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,>50K
29,Private,188266,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,<=50K
30,Private,325931,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,17999,0,54,Puerto-Rico,>50K
31,Private,271032,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,34,United-States,<=50K
35,Private,231808,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
29,Private,104118,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
28,Local-gov,253844,HS-grad,9,Divorced,Other-service,Other-relative,White,Female,0,0,40,Mexico,<=50K
40,Private,198733,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,<=50K
42,?,136335,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
48,Self-emp-not-inc,213063,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
42,Private,259850,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,258432,HS-grad,9,Never-married,Protective-serv,Own-child,White,Female,0,0,40,United-States,<=50K
42,State-gov,167351,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,35,United-States,>50K
33,Private,335598,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
50,Private,302184,HS-grad,9,Never-married,Farming-fishing,Other-relative,Black,Male,0,0,40,United-States,<=50K
35,Private,68204,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
48,Local-gov,347139,Prof-school,11,Divorced,Protective-serv,Not-in-family,Black,Female,0,0,40,United-States,<=50K
21,?,217315,Bachelors,13,Never-married,?,Not-in-family,White,Female,0,0,20,United-States,<=50K
22,Local-gov,64379,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
41,Self-emp-not-inc,317467,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,54,United-States,>50K
58,Private,118591,9th,5,Widowed,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,43,?,<=50K
59,Self-emp-not-inc,185114,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,74,United-States,>50K
32,Private,202086,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,55,United-States,>50K
34,Private,262056,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
43,?,391124,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,35,United-States,>50K
30,Private,35464,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,48,United-States,>50K
22,Private,122274,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,34,United-States,<=50K
42,Local-gov,216737,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,58,United-States,>50K
50,Private,193989,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,32,United-States,>50K
48,Private,153845,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
