age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,Local-gov,211125,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
17,Private,118148,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K
47,Private,111531,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,171099,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
25,Private,186119,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,20,United-States,<=50K
32,Self-emp-inc,81248,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
36,Private,123237,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Italy,<=50K
49,Self-emp-not-inc,118048,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Local-gov,514283,Masters,14,Separated,Prof-specialty,Unmarried,Black,Female,0,0,50,United-States,<=50K
67,Self-emp-not-inc,237357,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,30,United-States,>50K
48,Self-emp-not-inc,192335,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
58,Private,281778,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,52689,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,<=50K
39,Local-gov,108408,HS-grad,9,Never-married,Protective-serv,Unmarried,Black,Female,0,0,35,United-States,<=50K
40,Local-gov,21795,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,7298,0,40,United-States,>50K
53,State-gov,158246,HS-grad,9,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,78,United-States,<=50K
45,Private,181486,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,40,?,>50K
58,Private,135268,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,386666,Bachelors,13,Never-married,Sales,Own-child,White,Male,2178,0,40,United-States,<=50K
49,Local-gov,192533,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
42,Private,134836,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Male,0,0,40,United-States,<=50K
31,State-gov,124797,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
43,Self-emp-not-inc,231307,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
51,?,179493,11th,7,Never-married,?,Unmarried,White,Female,0,0,32,United-States,<=50K
22,Private,151659,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
49,Private,252099,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
73,Self-emp-not-inc,134963,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
27,Private,418717,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
60,Private,214330,11th,7,Separated,Sales,Not-in-family,Black,Male,0,0,40,United-States,<=50K
44,Private,102790,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
31,Private,153430,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
49,Self-emp-not-inc,72267,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,55,United-States,<=50K
37,Local-gov,198122,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,State-gov,199940,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,193150,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,248160,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
34,Private,140552,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
48,Private,153896,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,<=50K
31,Private,210960,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,3325,0,40,United-States,<=50K
53,Self-emp-not-inc,72354,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,15024,0,50,United-States,>50K
36,Private,170280,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,282078,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
29,State-gov,216497,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,37,United-States,<=50K
61,Private,90468,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,18,United-States,<=50K
38,Private,98648,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,253158,HS-grad,9,Never-married,Other-service,Other-relative,Black,Male,0,0,48,Jamaica,<=50K
22,Private,242440,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,30,United-States,<=50K
24,Private,99950,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,42,United-States,<=50K
51,Private,175103,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,2359,0,50,United-States,<=50K
45,Private,174601,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
28,Private,102838,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50K
25,Private,444303,Bachelors,13,Never-married,Tech-support,Not-in-family,Black,Male,0,0,40,United-States,<=50K
63,Local-gov,116777,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
